item_name,quantity,unit_price,line_total,confidence_score
"OL VE OIL",1.000,0,9.99,1.00
"OL VE BEANS OIL 100% ITALIA",1.000,0,0.99,1.00
"COCONUT MILK",1.000,0,1.89,1.00
"BLACK BEANS",1.000,0,0.99,1.00
"GARBANZO BEANS",1.000,0,0.99,1.00
"GARBANZO BEANS",1.000,0,0.99,1.00
"T FIG OLIVE CRISPS",1.000,0,3.99,1.00
"A - AVOCADO BAG HASS 4CT",1.000,0,4.99,1.00
"LIME EACH",1.000,0,0.49,1.00
"ONIONS RED RED JUMBO",1.000,0,1.19,1.00
"POTATO SWEET EACH EACH",2.000,0.99,1.98,1.00
"A - SHALLOTS EACH",1.000,0,0.69,1.00
"A - APPLES FUJI EACH",1.000,0,0.69,1.00
"BURRA A",1.000,0,4.99,1.00
"MILK QUART WHOLE",1.000,0,1.49,1.00
"COCONUT ORGANIC SMOOTHIE",1.000,0,2.79,1.00
"Bottle Deposit",1.000,0,0.05,1.00
"VEGAN THAI GREEN CURRY",1.000,0,4.69,1.00
"COCONUT ORGANIC SMOOTHIE",1.000,0,2.79,1.00
"Bottle Deposit FRIED RICE",1.000,0,0.05,1.00
"VEGETABLE FRIED",1.000,0,2.99,1.00
"CARRO'S CUT PEELED ORG POMEGRANATE",1.000,0,1.99,1.00
"5.3 OZ",1.000,0,4.79,1.00
"WRAP CREAMY HUMMUS AND V",1.000,0,4.99,1.00
"BLACKBERRIES OZ",6.000,0,3.49,1.00
"VEG SOY CHORIZO",1.000,0,2.99,1.00
"BLUEBERRIES OZ",18.000,0,5.49,1.00
"SUSHI VEGETARIAN ROLL",1.000,0,5.99,1.00
"VEG BEEF - LESS GRND",1.000,0,3.99,1.00
"PEPPER BELL RED XL EACH",1.000,0,1.49,1.00
"- BROCCOLI BABY 12OZ",1.000,0,3.49,1.00
"BROCCOLI CROWNS",1.000,0,1.99,1.00
"CAULIFLOWER EACH",1.000,0,2.99,1.00
"- SALAD BABY SPINACH ORG",1.000,0,2.29,1.00
"DISPOSABLE BAG FEE",4.000,0.05,0.20,1.00